name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2026-01-15T00:00:00,8.0,8.0,6.0,87.19,0.0,0,,0,0,5.4,3.6,124.1,1019,25.0,6.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T01:00:00,7.0,6.2,6.0,93.35,0.0,0,,0,0,5.8,5.4,100.0,1019,25.0,6.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T02:00:00,7.0,7.0,7.0,100.0,0.0,0,,0,0,5.0,3.6,136.0,1019,25.0,6.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T03:00:00,6.0,5.0,6.0,100.0,0.0,0,,0,0,4.7,5.4,90.0,1019,25.0,6.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T04:00:00,6.0,6.0,6.0,100.0,0.0,0,,0,0,4.7,3.6,144.0,1018,25.0,6.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T05:00:00,6.0,6.0,6.0,100.0,0.0,0,,0,0,4.7,3.6,143.4,1018,25.0,5.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T06:00:00,5.0,3.9,5.0,100.0,0.0,0,,0,0,4.7,5.4,80.0,1018,25.0,5.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2026-01-15T07:00:00,5.0,3.2,5.0,100.0,0.0,0,,0,0,4.7,7.6,90.0,1019,50.0,4.0,0,0.0,0,10.0,Partially cloudy,partly-cloudy-day,VNKT
Kathmandu,2026-01-15T08:00:00,6.0,6.0,6.0,100.0,0.0,0,,0,0,5.0,3.6,135.2,1020,25.0,3.0,37,0.1,0,10.0,Partially cloudy,partly-cloudy-day,VNKT
Kathmandu,2026-01-15T09:00:00,8.0,8.0,7.0,93.4,0.0,0,,0,0,5.0,3.6,116.6,1020,25.0,2.0,227,0.8,2,10.0,Partially cloudy,partly-cloudy-day,VNKT
Kathmandu,2026-01-15T10:00:00,11.0,11.0,6.0,71.27,0.0,0,,0,0,3.6,0.0,0.0,1021,25.0,2.0,429,1.5,4,10.0,Partially cloudy,partly-cloudy-day,VNKT
Kathmandu,2026-01-15T11:00:00,13.0,13.0,6.0,62.47,0.0,0,,0,0,3.2,3.6,296.2,1021,25.0,4.0,588,2.1,6,10.0,Partially cloudy,partly-cloudy-day,VNKT
Kathmandu,2026-01-15T12:00:00,15.0,15.0,6.0,54.87,0.0,0,,0,0,3.6,5.4,120.0,1020,25.0,5.0,688,2.5,7,10.0,Partially cloudy,partly-cloudy-day,VNKT
Kathmandu,2026-01-15T13:00:00,17.0,17.0,6.0,48.29,0.0,0,,0,0,5.0,7.6,120.0,1019,25.0,6.0,721,2.6,7,10.0,Partially cloudy,partly-cloudy-day,VNKT
