name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2022-04-01T00:00:00,65.1,65.1,62,89.82,0,0,,0,0,9.4,5.4,90,1015,50,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T01:00:00,64.4,64.4,62.6,93.88,0,0,,0,0,10.5,2.2,19.2,1014,50,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T02:00:00,62.6,62.6,60.8,93.84,0,0,,0,0,10.5,4.7,80,1013,28,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T03:00:00,62.7,62.7,60.9,93.84,0,0,,0,0,10.5,3.4,96,1012,28,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T04:00:00,64.4,64.4,60.8,88.1,0,0,,0,0,10.5,0,0,1012,28,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T05:00:00,62.6,62.6,62.6,100,0,0,,0,0,10.1,3.4,100,1013,89.2,2.5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T06:00:00,62.6,62.6,61,94.45,0,0,,0,0,8.9,2,60,1014,71.3,2.4,0,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2022-04-01T07:00:00,64.4,64.4,62.6,93.88,0,0,,0,0,7.8,0,0,1015,89.2,1.2,28,0.1,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T08:00:00,66.2,66.2,62.6,88.19,0,0,,0,0,8.1,2.2,152.6,1016,89.2,1.2,188.6,0.7,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T09:00:00,68.7,68.7,62.4,80.32,0,0,,0,0,11,2.2,210,1016,83.2,1.5,353.8,1.3,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2022-04-01T10:00:00,73.4,73.4,62.6,68.97,0,0,,0,0,14.3,4.7,210,1016,50,1.9,493.2,1.8,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T11:00:00,75.2,75.2,62.6,64.94,0,0,,0,0,15.9,4.7,260,1015,89.2,2.5,539.3,1.9,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T12:00:00,77.9,77.9,64.8,64.04,0,0,,0,0,16.3,7.7,272,1015,71.2,2.5,642.5,2.3,6,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2022-04-01T13:00:00,77,77,64.4,65.15,0,0,,0,0,17.4,8.1,310,1014,89.2,2.5,523.4,1.9,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T14:00:00,77,77,64.4,65.15,0,0,,0,0,18.6,5.8,310,1013,50,3.1,668.8,2.4,7,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T15:00:00,77,77,62.6,61.16,0,0,,0,0,17.9,9.2,270,1013,89.2,3.1,517.5,1.9,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T16:00:00,75.2,75.2,62.6,64.94,0,0,,0,0,17.2,10.3,290,1012,89.2,3.1,313,1.1,3,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T17:00:00,73.4,73.4,62.6,68.97,0,0,,0,0,14.1,6.9,300,1013,89.2,2.5,226.2,0.8,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-04-01T18:00:00,72.8,72.8,63.5,72.47,0,0,,0,0,12.5,7.4,288,1013.9,83.1,2.5,93.7,0.3,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2022-04-01T19:00:00,71.6,71.6,64.4,78.06,0,0,,0,0,10.5,6.9,290,1015,89.2,3.1,10.3,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T20:00:00,71.6,71.6,64.4,78.06,0,0,,0,0,9.4,4.7,260,1016,89.2,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T21:00:00,70.7,70.7,64.2,79.99,0,0,,0,0,8.7,4.2,250,1016,83.2,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T22:00:00,69.8,69.8,64.4,82.99,0,0,,0,0,7.8,2.2,317.4,1017,89.2,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-01T23:00:00,68,68,64.4,88.27,0,0,,0,0,7.6,0,12.4,1017,89.2,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-02T00:00:00,66.9,66.9,63.2,87.88,0,0,,0,0,8.3,1.3,90,1016,71.3,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-02T01:00:00,66.2,66.2,62.6,88.19,0,0,,0,0,9.8,0,0,1016,50,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-02T02:00:00,66.2,66.2,64.4,93.93,0,0,,0,0,9.8,3.4,100,1015,50,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-02T03:00:00,65.3,65.3,63.3,93.2,0,0,,0,0,9.8,3.9,100,1015,56,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-04-02T04:00:00,64.4,64.4,62.6,93.88,0,0,,0,0,9.2,2.2,26.8,1015,50,2.5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
