name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2024-02-01T00:00:00,50,50,46.4,87.38,0,0,,0,0,6.7,3.4,190,1021,89.2,3.1,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T01:00:00,48.2,47.3,44.6,87.29,0,0,,0,0,6.7,3.4,220,1021,28,2.5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T02:00:00,48.2,47.3,42.8,81.49,0,0,,0,0,6.3,3.4,220,1020,28,2.5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T03:00:00,46.4,46.4,41,81.35,0,0,,0,0,5.8,2.2,346,1020,28,2.5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T04:00:00,46.4,46.4,42.8,87.2,0,0,,0,0,4.9,0,360,1020,28,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T05:00:00,44.6,43.2,41,87.1,0,0,,0,0,4.5,3.4,190,1019,28,1.9,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T06:00:00,44.6,43.2,41,87.1,0,0,,0,0,6,3.4,80,1020,89.2,2.5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-02-01T07:00:00,44.6,44.6,42.8,93.35,0,0,,0,0,7.8,0,0,1021,50,1.2,0,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T08:00:00,44.6,44.6,42.8,93.35,0,0,,0,0,8.7,2.2,153.4,1022,50,1.2,37,0.1,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T09:00:00,48.2,48.2,42.8,81.49,0,0,,0,0,9.8,0,0,1022,28,1.2,161.3,0.6,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T10:00:00,53.6,53.6,44.6,71.47,0,0,,0,0,10.5,0,0,1023,28,1.9,312.7,1.1,3,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T11:00:00,55.4,55.4,42.8,62.49,0,0,,0,0,11.6,4.7,130,1022,28,2.5,441.6,1.6,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T12:00:00,59,59,39.2,47.75,0,0,,0,0,13.2,3.4,270,1022,63.9,3.1,470.3,1.7,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T13:00:00,59,59,41,51.21,0,0,,0,0,13.6,5.8,240,1021,89.2,3.1,407.1,1.5,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T14:00:00,57.2,57.2,41,54.63,0,0,,0,0,14.1,11.4,280,1020,89.2,3.1,355,1.3,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T15:00:00,55.4,55.4,41,58.3,0,0,,0,0,15,10.3,280,1019,89.2,3.1,277.8,1,3,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T16:00:00,57.2,57.2,42.8,58.55,0,0,,0,0,14.3,8.1,280,1019,89.2,3.1,153.7,0.6,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T17:00:00,53.6,53.6,44.6,71.47,0,0,,0,0,12.5,9.2,270,1019,89.2,2.5,75.1,0.3,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-02-01T18:00:00,51.8,51.8,46.4,81.75,0,0,,0,0,11,9.2,270,1020,89.2,1.9,30,0.1,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
