name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2022-07-01T00:00:00,71.6,71.6,68,88.44,0,0,,0,0,6.7,0.9,110.9,1010,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-07-01T01:00:00,69.5,69.5,68.1,95.18,0.016,100,rain,0,0,5.4,0.2,227.6,1006,100,,0,0,0,,"Rain, Overcast",rain,remote
Kathmandu,2022-07-01T02:00:00,69.8,69.8,68,94.02,0,0,,0,0,6.7,3.4,200,1010,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-07-01T03:00:00,71.6,71.6,66.2,83.11,0,0,,0,0,6.5,0,0,1009,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-07-01T04:00:00,71.6,71.6,66.2,83.11,0,0,,0,0,5.4,0,0,1009,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-07-01T05:00:00,69.8,69.8,68,94.02,0,0,,0,0,6.5,2.2,24.6,1009,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2022-07-01T06:00:00,71.6,71.6,68,88.44,0,0,,0,0,5.6,3.4,220,1009,50,4.3,6.3,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-07-01T07:00:00,75.2,75.2,68,78.36,0,0,,0,0,5.4,0,0,1010,50,3.7,94.9,0.3,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-07-01T08:00:00,77,77,68,73.8,0,0,,0,0,6.7,3.4,270,1010,50,4.3,262.2,0.9,3,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-07-01T09:00:00,80.6,83.9,69.8,69.74,0,0,,0,0,9.6,2.2,209.8,1010,50,4.3,438.6,1.6,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2022-07-01T10:00:00,82.4,84.7,66.2,58.11,0,0,,0,0,11.9,5.8,310,1010,50,4.3,501.1,1.8,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
