name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2023-06-01T00:00:00,73.4,73.4,60.8,64.72,0,0,,0,0,8.7,2.2,7.8,1014,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T01:00:00,71.6,71.6,62.6,73.29,0,0,,0,0,9.2,0,0,1014,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T02:00:00,69.8,69.8,60.8,73.12,0,0,,0,0,8.5,4.7,100,1014,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T03:00:00,68.8,68.8,60.9,75.87,0,0,,0,0,7.8,4.7,90,1013,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T04:00:00,68,68,60.8,77.77,0,0,,0,0,7.6,2.2,31.5,1013,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T05:00:00,68,68,60.8,77.77,0,0,,0,0,6.9,2.2,110,1013,28,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T06:00:00,66.5,66.5,60.9,82.23,0,0,,0,0,5.8,2.9,100,1013,28,4.3,13.3,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T07:00:00,69.8,69.8,60.8,73.12,0,0,,0,0,6.7,2.2,42,1014,28,4.3,148.7,0.5,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T08:00:00,75.2,75.2,60.8,60.94,0,0,,0,0,6.3,2.2,262.4,1014,28,5,357.1,1.3,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T09:00:00,79.5,79.5,63.1,57.37,0,0,,0,0,8.7,3.4,100,1013.9,27.9,5,574.5,2.1,6,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2023-06-01T10:00:00,82.4,83.4,62.6,51.25,0,0,,0,0,12.3,2.2,235.5,1014,28,5,765.7,2.8,8,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T11:00:00,84.2,83.5,57.2,39.9,0,0,,0,0,15,3.4,310,1014,28,6.2,890.2,3.2,9,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T12:00:00,87.2,87.1,60.4,40.65,0,0,,0,0,16.3,10.8,250,1012.9,27.9,6.2,844,3,8,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2023-06-01T13:00:00,87.8,85.7,53.6,31.21,0,0,,0,0,19.2,5.8,240,1013,28,6.2,803.1,2.9,8,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T14:00:00,86,84.6,55.4,35.29,0,0,,0,0,18.3,12.8,220,1012,28,6.2,588.6,2.1,6,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T15:00:00,84.9,85.9,63.3,48.37,0,0,,0,0,18.1,12.7,220,1010.9,43.9,6.2,525.8,1.9,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2023-06-01T16:00:00,86,85.5,59,40.18,0,0,,0,0,17.2,13.9,210,1010,28,6.2,483.5,1.7,5,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T17:00:00,82.4,82.1,57.2,42.29,0,0,,0,0,15.4,13.9,200,1010,28,6.2,366,1.3,4,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-06-01T18:00:00,82.5,83.1,61.3,48.93,0,0,,0,0,13.6,11.9,210,1009.9,27.9,5,237.1,0.9,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2023-06-01T19:00:00,80.6,80.8,57.2,44.83,0,0,,0,0,10.1,8.1,230,1011,28,5,63.4,0.2,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T20:00:00,76.9,76.9,55.3,47.27,0,0,,0,0,8.5,6.9,210,1011,25,5,0.3,0,0,,Partially cloudy,partly-cloudy-night,VNKT
Kathmandu,2023-06-01T21:00:00,76.8,76.8,55.4,47.63,0,0,,0,0,6.5,6.9,200,1012,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T22:00:00,75.2,75.2,55.4,50.2,0,0,,0,0,5.1,4.7,220,1012,28,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-01T23:00:00,73.4,73.4,55.4,53.32,0,0,,0,0,4.9,4.7,200,1013,50,5,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T00:00:00,71.9,71.9,58.8,63.32,0,0,,0,0,5.4,4.7,90,1013,28,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T01:00:00,71.6,71.6,59,64.51,0,0,,0,0,6.7,3.4,100,1012,50,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T02:00:00,69.8,69.8,59,68.58,0,0,,0,0,6.5,2.2,43.2,1012,28,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T03:00:00,68.3,68.3,58.3,70.22,0,0,,0,0,6.9,7.2,90,1012,28,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T04:00:00,68,68,59,72.94,0,0,,0,0,7.6,3.4,100,1011,28,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T05:00:00,66.2,66.2,59,77.62,0,0,,0,0,7.8,3.4,110,1011,28,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-06-02T06:00:00,65.9,65.9,59,78.57,0,0,,0,0,7.6,0,0,1012,28,4.3,14.1,0.1,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
