name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2025-03-17T00:00:00,59.9,59.9,45.5,58.96,0,0,,0,0,11,2.9,289,1017,26.9,4.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T01:00:00,57.9,57.9,46.4,65.54,0,0,,0,0,13.9,2.1,327,1016,26.9,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T02:00:00,58.4,58.4,46.4,64.49,0,0,,0,0,13.6,2.7,110,1016,26.9,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T03:00:00,55.6,55.6,46.3,70.78,0,0,,0,0,13.4,4.2,80,1016,26.9,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T04:00:00,55.4,55.4,46.4,71.67,0,0,,0,0,13.2,3.8,314,1016,26.9,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T05:00:00,54.3,54.3,46.4,74.66,0,0,,0,0,13.4,2.7,100,1015,26.9,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T06:00:00,54,54,47.7,79.2,0,0,,0,0,13,2.9,282,1015.9,26.9,3.7,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,NPI0000VNKT,VNKT,NPI0000VNSI,44449099999"
Kathmandu,2025-03-17T07:00:00,56.1,56.1,47.1,71.74,0,0,,0,0,12.5,3.8,346,1016,65.3,3.7,13.6,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T08:00:00,59.9,59.9,48.2,65.25,0,0,,0,0,12.1,2.7,90,1017.6,79.4,3.1,163.2,0.6,2,,Partially cloudy,partly-cloudy-day,"44454099999,NPI0000VNKT,VNKT"
Kathmandu,2025-03-17T09:00:00,64,64,49.8,59.95,0,0,,0,0,11.9,2.9,263,1017.9,80,3.6,350,1.3,4,,Partially cloudy,partly-cloudy-day,"44454099999,NPI0000VNKT,VNKT,NPI0000VNSI,44449099999"
