name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2024-11-01T00:00:00,64.4,64.4,60.8,88.1,0,0,,0,0,4.3,2.2,40,1018,28,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T01:00:00,64.4,64.4,62.6,93.88,0,0,,0,0,5.8,2.2,32.8,1018,28,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T02:00:00,62.6,62.6,62.6,100,0,0,,0,0,4.9,2.2,43.9,1018,28,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T03:00:00,62.6,62.6,60.8,93.84,0,0,,0,0,4.9,2.2,80.7,1017,28,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T04:00:00,62.6,62.6,62.6,100,0,0,,0,0,4.9,0,0,1017,28,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T05:00:00,60.8,60.8,60.8,100,0,0,,0,0,6,2.2,94.9,1017,28,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T06:00:00,60.8,60.8,60.8,100,0,0,,0,0,6,3.4,140,1018,28,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T07:00:00,60.8,60.8,60.8,100,0,0,,0,0,6.3,2.2,133.1,1019,28,3.1,8.2,0,0,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T08:00:00,64.4,64.4,60.8,88.1,0,0,,0,0,6.9,0,0,1020,28,3.1,118.1,0.4,1,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T09:00:00,66.2,66.2,60.8,82.75,0,0,,0,0,7.8,0,0,1021,28,3.1,273.8,1,3,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T10:00:00,69.8,69.8,60.8,73.12,0,0,,0,0,9.6,2.2,164.4,1022,28,3.7,360.7,1.3,4,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T11:00:00,73.4,73.4,62.6,68.97,0,0,,0,0,10.7,3.4,160,1021,28,3.7,422.1,1.5,4,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T12:00:00,77,77,60.8,57.4,0,0,rain,0,0,12.3,4.7,160,1020,28,3.7,481.5,1.7,5,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T13:00:00,77,77,59,53.83,0,0,rain,0,0,13.4,3.4,100,1019,50,3.7,380.2,1.4,4,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T14:00:00,77,77,59,53.83,0,0,,0,0,13,10.3,210,1018,89.2,4.3,440.8,1.6,4,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T15:00:00,77,77,60.8,57.4,0,0,rain,0,0,13.6,12.8,220,1018,89.2,4.3,363.3,1.3,4,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T16:00:00,75.2,75.2,62.6,64.94,0,0,,0,0,12.5,10.3,280,1018,89.2,4.3,208.1,0.7,2,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T17:00:00,73.4,73.4,62.6,68.97,0,0,,0,0,10.3,6.9,240,1018,89.2,3.7,94.9,0.3,1,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-11-01T18:00:00,71.6,71.6,60.8,68.78,0,0,,0,0,7.8,9.2,230,1019,89.2,3.7,7,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T19:00:00,69.8,69.8,62.6,77.92,0,0,,0,0,6.5,9.2,210,1020,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T20:00:00,68,68,62.6,82.87,0,0,,0,0,4.3,6.9,200,1021,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T21:00:00,68,68,62.6,82.87,0,0,,0,0,3.4,5.8,210,1021,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T22:00:00,68,68,62.6,82.87,0,0,,0,0,4,3.4,220,1021,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-01T23:00:00,68,68,62.6,82.87,0,0,rain,0,0,4.7,3.4,220,1021,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-11-02T00:00:00,66.2,66.2,62.6,88.19,0,0,,0,0,5.4,3.4,190,1020,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
