name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2023-10-01T00:00:00,71.6,71.6,68,88.44,0,0,,0,0,5.6,2.2,25.4,1016,89.2,5,0,0,0,3,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-10-01T01:00:00,69.8,69.8,68,94.02,0,0,,0,0,4.3,4.7,80,1016,89.2,4.3,0,0,0,3,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-10-01T02:00:00,69.8,69.8,68,94.02,0,0,,0,0,3.8,3.4,70,1015,89.2,4.3,0,0,0,3,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-10-01T03:00:00,69.9,69.9,67.6,92.3,0,0,,0,0,4,0,0,1015,83.2,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-10-01T04:00:00,69.8,69.8,68,94.02,0,0,,0,0,4.3,0,0,1014,89.2,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-10-01T05:00:00,69.8,69.8,68,94.02,0,0,,0,0,4.7,3.4,170,1014,89.2,4.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2023-10-01T06:00:00,69.1,69.1,67.8,95.75,0,0,,0,0,5.4,2.2,180,1014,89.2,3.7,0,0,0,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2023-10-01T07:00:00,69.8,69.8,68,94.02,0,0,,0,0,5.6,2.2,15.7,1014,89.2,3.7,7.4,0,0,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-10-01T08:00:00,69.8,69.8,69.8,100,0,0,,0,0,5.4,2.2,295.4,1015,89.2,3.7,41.9,0.2,0,10,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2023-10-01T09:00:00,72.7,72.7,69.3,89.1,0.012,100,rain,0,0,6.5,2.2,50,1014.9,83.1,3.7,243.4,0.9,2,10,"Rain, Partially cloudy",rain,"44454099999,VNKT,44449099999"
