name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kathmandu,2024-09-01T00:00:00,71.9,71.9,71.9,100,0,0,,0,0,6.3,3.4,100,1015,83.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-09-01T01:00:00,71.6,71.6,71.6,100,0,0,,0,0,6.7,2.2,30.4,1015,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-09-01T02:00:00,71.6,71.6,71.6,100,0,0,,0,0,7.8,0,0,1015,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-09-01T03:00:00,72.9,72.9,72.9,100,0,0,,0,0,6.5,2.2,80,1014,83.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-09-01T04:00:00,71.6,71.6,71.6,100,0,0,,0,0,6.7,3.4,80,1014,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-09-01T05:00:00,71.6,71.6,71.6,100,0,0,,0,0,8.3,3.4,40,1014,89.2,4.3,0,0,0,,Partially cloudy,partly-cloudy-night,"44454099999,VNKT"
Kathmandu,2024-09-01T06:00:00,71.4,71.4,70.7,97.47,0,0,,0,0,7.6,2.2,100,1014,89.2,3.7,0,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2024-09-01T07:00:00,71.6,71.6,71.6,100,0,0,,0,0,7.2,0,0,1015,89.2,3.1,10,0,0,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-09-01T08:00:00,71.6,71.6,71.6,100,0,0,,0,0,8.5,0,0,1016,89.2,3.7,52.5,0.2,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-09-01T09:00:00,71.7,71.7,71.4,98.9,0.965,100,rain,0,0,11.2,2.9,330,1016,89.2,3.1,105.8,0.4,1,,"Rain, Partially cloudy",rain,"44454099999,VNKT,44449099999"
Kathmandu,2024-09-01T10:00:00,71.6,71.6,71.6,100,0,0,,0,0,12.8,2.2,145.4,1017,100,1.9,119.1,0.4,1,,Overcast,cloudy,"44454099999,VNKT"
Kathmandu,2024-09-01T11:00:00,71.6,71.6,71.6,100,0,0,,0,0,15.2,5.8,70,1017,100,1.9,135.8,0.5,1,,Overcast,cloudy,"44454099999,VNKT"
Kathmandu,2024-09-01T12:00:00,71.7,71.7,71.4,98.91,0,0,,0,0,15.7,3.4,50,1017,100,1.9,161.8,0.6,2,,Overcast,cloudy,"44454099999,VNKT,44449099999"
Kathmandu,2024-09-01T13:00:00,71.6,71.6,71.6,100,0,0,,0,0,15.7,5.8,210,1017,100,2.5,136.5,0.5,1,,Overcast,cloudy,"44454099999,VNKT"
Kathmandu,2024-09-01T14:00:00,71.6,71.6,71.6,100,0,0,,0,0,13.9,3.4,80,1016,89.2,3.7,111.9,0.4,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-09-01T15:00:00,70.7,70.7,69.8,97.11,0,0,,0,0,12.1,6.9,70,1015.9,89.2,3.7,203.9,0.7,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2024-09-01T16:00:00,71.6,71.6,71.6,100,0,0,,0,0,10.3,6.9,70,1016,89.2,3.7,196.4,0.7,2,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
Kathmandu,2024-09-01T17:00:00,69.8,69.8,69.8,100,0,0,,0,0,9.2,6.9,80,1015,89.2,4.3,101.5,0.4,1,,Partially cloudy,partly-cloudy-day,"44454099999,VNKT"
